date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:08:49	104457/104457	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2014:08:48%20GMT	https://api-report1.aoi-gadget.icu/	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/index.html	(from )
23:08:49	120/120	---M-Z	200	added ('OK')	text/plain	date:Thu,%2013%20Feb%202025%2014:08:48%20GMT	https://api-report1.aoi-gadget.icu/robots.txt		(from )
23:08:50	3975/3975	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Dec%202024%2002:13:50%20GMT	https://api-report1.aoi-gadget.icu/wp-content/themes/swell/assets/img/texture/white-brushed.png	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-content/themes/swell/assets/img/texture/white-brushed.png	(from https://api-report1.aoi-gadget.icu/)
23:08:50	18450/18450	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Dec%202024%2003:03:35%20GMT	https://api-report1.aoi-gadget.icu/wp-content/litespeed/ucss/7a219f5333967f8232d72ac2ef3af29c.css?ver=e1f3c	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-content/litespeed/ucss/7a219f5333967f8232d72ac2ef3af29cc0dc.css	(from https://api-report1.aoi-gadget.icu/)
23:08:50	1353/1353	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2002%20Dec%202024%2002:03:43%20GMT	https://api-report1.aoi-gadget.icu/wp-content/plugins/litespeed-cache/assets/js/css_async.min.js	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-content/plugins/litespeed-cache/assets/js/css_async.min.js	(from https://api-report1.aoi-gadget.icu/)
23:08:50	6207/6207	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Dec%202024%2007:21:50%20GMT	https://api-report1.aoi-gadget.icu/wp-content/plugins/useful-blocks/assets/img/a_person.png	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-content/plugins/useful-blocks/assets/img/a_person.png	(from https://api-report1.aoi-gadget.icu/)
23:08:50	285/285	---M--	200	added ('OK')	text/css	date:Mon,%2002%20Dec%202024%2002:13:50%20GMT	https://api-report1.aoi-gadget.icu/wp-content/themes/swell/build/css/noscript.css	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-content/themes/swell/build/css/noscript.css	(from https://api-report1.aoi-gadget.icu/)
23:08:51	22722/22722	---MC-	200	added ('OK')	application/json	date:Thu,%2013%20Feb%202025%2014:08:50%20GMT	https://api-report1.aoi-gadget.icu/wp-json/wp/v2/pages/36	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-json/wp/v2/pages/36.json	(from https://api-report1.aoi-gadget.icu/)
23:08:51	1827/1827	---M-Z	200	added ('OK')	application/rss+xml	date:Thu,%2013%20Feb%202025%2014:06:28%20GMT	https://api-report1.aoi-gadget.icu/feed/	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/feed/index.html	(from https://api-report1.aoi-gadget.icu/)
23:08:51	6156/6156	---M--	200	added ('OK')	image/webp	date:Mon,%2002%20Dec%202024%2014:00:46%20GMT	https://api-report1.aoi-gadget.icu/wp-content/uploads/2024/12/d1e632f2-4a96-4f75-acba-36e3b2e0ded4-150x150.webp	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-content/uploads/2024/12/d1e632f2-4a96-4f75-acba-36e3b2e0ded4-150x150.webp	(from https://api-report1.aoi-gadget.icu/)
